query,answer,image,image_path,Unnamed: 4,sub_queries
What color is the Santa Anita Park logo?,blue,117d500aaa630023c4038b8268b309c0,f19e639537d20a2930a82dcefd38e822.jpg,,Santa Anita Park| logo color
What is the man holding in the poster for Blue Eyes (film)?,gun,7a4790992bbb4a853e001e7b68752e24,9e3652ec184e91d5a9b1bca5e7258e43.jpg,,poster| Blue Eyes (film)| man| holding
What object is in front of Felicia Day's face?,microphone,d179a14875639d9cfb680f784223b271,879271ac3fb2d48ce339bca38b5e091d.jpg,,Felicia Day| object in front of face
What color hair does alyson stoner have?,blonde,19af22e07afe0137773a47a13cae475b,e90942ec3fce0d13163d8f8f0071b603.jpg,,Alyson Stoner| hair color
"Is there an amusement park featured in the collage of Tampa, Florida?",yes,04efc3408a15848ab446ddc2d4d2bd13,dbab1d469d86e0b14d328b292c8ff47b.jpg,,"amusement park| collage| Tampa, Florida"
"What is going across the river and in the water on Parkersburg, West Virginia?",bridge,55135d3219a8a9ab6b827fee6b0723e7,1d53073cc43b5e8429e830b8142b31c9.jpg,,river| Parkersburg| West Virginia
How many colors are on the Mississippi flag?,3,33002a89d4b97618a27a90454ef225f6,d252cf03d46722af93c4a17d6c872175.jpg,,Mississippi flag| colors
What arid climate is the region where Page Municipal Airport is located?,desert,ea63f0bf3dfcbd0efe3e90ff0af6e5ef,e6fbd8efe9a350aac0be3b8f0badab52.jpg,,arid climate| Page Municipal Airport| region
How many colors are inthe Point Skyhawks logo?,4,c7e8e33a198f9ff64ed01fcca4386267,add1d3c5c1f7f5eef5a82901ac4b4c86.jpg,,Point Skyhawks| logo| colors
What color is Giorgio Armani's hair?,white,89c1b7c3c061cc80bb98d99cbbec50dd,5788621075e72ea4e9ab38c8dc00e868.jpg,,Giorgio Armani| hair color
What type of ball is shown on the sleeve of Arjen Robben?,soccer,c9bab469e88adc0419a34a6abf7226ff,1bc5b1809ac454da61a7776053347fe6.jpg,,Arjen Robben| sleeve| ball
What is at the top of the logo for Esporte Clube Santo Andre?,crown,cd688309f231129c3e897a33704d62e6,1c7d66ff09e6ca8a7682ce4bee367dac.jpg,,logo| Esporte Clube Santo Andre| top
What is the man on the poster for Black Hawk Down (film) holding in his right hand?,gun,afc2fd4277f09b50b68b2b7191d687b8,19decdc51aa1978655e02ac0043d19e0.jpg,,poster| Black Hawk Down (film)| man| right hand
Is there an adult on the motorcycle in the poster for Easy Wheels?,no,7377d327e9b7294fdb91127343e04240,b52ed1ce6ec0b97c92446ee4e4c9add7.jpg,,poster| Easy Wheels| adult| motorcycle
Is Glen E. Friedman's jacket zipped or unzipped?,unzipped,fc9ebf2e2f864094d3a6abd6d8674e34,d8a340fc3a69e6efe4a397671469b018.jpg,,Glen E. Friedman| jacket| zipped| unzipped
What is hitting the bongos in the Incredible Bongo Band cover?,hands,bea253af5c65cce9e682cde1771431a2,e9a05ae5d30a595ff7a758d85ef3834d.jpg,,Incredible Bongo Band| cover| bongos
What position are James Brown's hands in?,fists,8c94c8863a1dc12601f588064056198f,de9eb199223ad4d54f0a7aecb2758c13.jpg,,James Brown| hands| position
How many people are in this picture of The Marcels?,nine,04bf43de3fb9ec60e2d4ae2730ec26a3,27641aec19f329882ea91ce8ade69928.jpg,,The Marcels| picture| number of people
What style earrings is P. Susheela wearing?,hoops,66eb4368e9ce2866d826f0a388113c90,7b200ff9e11cf4b32791f2793e5f13de.jpg,,P. Susheela| style| earrings
"Is Plamen Iliev (footballer, born 1991) wearing green?",yes,c22fa469de500495cde9e49c19fafb4e,35942b3b94e9c9c52d9e12ad41b114af.jpg,,Plamen Iliev| footballer| born 1991| wearing green
What type of ball is the center of the FC Bolosani logo?,soccer,4fe987d30eff1647e86e30f858267ffc,a26cca8bb75a7203d32abd4df80148cc.jpg,,FC Bolosani| logo| type of ball
What is the main color on the cover of Kicking and Screaming (1995 film)?,green,e9e7af0a85bfe062956f1b070e486bce,0d6c9e5b5bc0c0b82e847e4519922c0e.jpg,,cover| Kicking and Screaming (1995 film)| main color
"Margot at the Wedding has how many main characters, as portrayed on the front cover?",3,890daca84ae6e9abf9529097b7185e08,cee955699f67ac98ed762274c2b7d81d.JPG,,Margot at the Wedding| main characters| front cover
What type of outfit is Wes Anderson wearing?,suit,4a012b0163ce8530bf8760511d269d4f,dab9b99f43bad0d8e24df99c773fef88.jpg,,Wes Anderson| outfit
How many people are on the advertisement for Solarbabies?,6,ff47f2e753a2a5825174438fd981716b,48b80fd77d93d6993c7e143aa0593078.jpg,,advertisement| Solarbabies| number of people
What are the men wearing around their necks in Dil Jo Bhi Kahey poster?,ties,083b166c958a6479df5195ec55680460,8c32d41bdc287944039d0a1d09947a70.jpg,,Dil Jo Bhi Kahey| poster| men| wearing| necks
What color is the woman's hair on the top of the advertisement for True True Lie?,blond,ab5b1e945e030bcb84f638050605ee2c,6a1fd908c4296369c02a2fe453287e8b.jpg,,advertisement| True True Lie| woman's hair
What body part is on the front cover of As Real as It Gets?,hand,0d057428fb6a3fd99797cefdb845ef11,236fe8f6ecbd9e085727a51bede59e25.jpg,,front cover| As Real as It Gets| body part
What sport is Maria Kharenkova participating in?,gymnastics,95547e88fe5b762e4583375da84acd3a,0f3e49299c9f4df6b085f08e47c85b3f.jpg,,Maria Kharenkova| sport
What color is the portion of the mat that Lilia Akhaimova is standing on?,white,2f94454039f886628e87c36a4e2afa0c,c881fbc25890823428f87dc62d67cb0c.jpg,,Lilia Akhaimova| mat| color
What hairstyle is Maria Paseka wearing?,bun,6e93cfddb4d618c783245ab32c6f341a,760803261e798cf15919094e6152af8c.jpg,,Maria Paseka| hairstyle
What is covering Viktoria Komova's forehead?,bangs,1718c48e4ec8cefab50e30adddc3f738,19dad0816dee8d4661d994fd69c55004.jpg,,Viktoria Komova| forehead
What is floating around the two people in Slumdog Millionaire?,confetti,6eaff02e7a4e8da95cd67e4021d98c6d,a0b595717d8739b6d4b795c0c62d7204.jpg,,two people| Slumdog Millionaire| floating objects
What is in the center of the logo for Alliance of American Football?,football,c62600f3a571cbb38bd66e124be5ec8a,c6542eda5eea9a5df96908f1a846e68f.jpg,,center| logo| Alliance of American Football
Does Biohazard (band) perform live?,yes,03fcd384671ac52f7efc39f5a3be92db,f415f5d4f3bcbdf62cc719738f1dadd9.jpg,,Biohazard (band)| live performance
Are the Transplants (band) giving an indoor or outdoor concert?,outdoor,bae81d7cfc1689353f90851dc0c8828f,8b0edbd674655990ff4cfed5b981c8ba.jpg,,Transplants (band)| indoor concert| outdoor concert
What color shirt is Tommaso Benvenuti (rugby union) wearing ?,blue,3ff0574ce7020df4a809ade7543d2f01,217867891e18cdaeb92fb220071cb884.jpg,,Tommaso Benvenuti| shirt| color| rugby union
What type of shoes is Takudzwa Ngwenya wearing?,cleats,d9ff3439677437f743e3d6b1122a76b8,c853b502756dc0f99669026ab1aa33e2.jpg,,Takudzwa Ngwenya| shoes
What sport is Jonathan Sexton playing here?,rugby,ecc0ee1f35c325597bcf209174e40dca,6d16b45fb3b7f6f447df6178254c0a5e.JPG,,Jonathan Sexton| sport
What type of pants is Ben Foden wearing?,shorts,a86332e817d902400866ca11e12e1444,ba4f7e935763f534998079ad30021507.jpg,,Ben Foden| pants
Is Marvin the Martian shown on the poster for Bugs Bunny: Lost in Time game?,yes,5c751696e76db5161604e2d5c2d3f278,6b2b883dfdde6f87979dac6017f9b48f.jpg,,Marvin the Martian| poster| Bugs Bunny: Lost in Time game
What is Elmer Fudd holding?,cane,5a2697a71ac83f0776b4495cabde19dd,7377d327e9b7294fdb91127343e04240.jpg,,Elmer Fudd| holding
What color are the gloves worn in Muttley?,red,d7051b92c135cd457fb53ace3a0caa65,1d29987ab9b463ca5f4deaa408affffd.jpg,,gloves| Muttley
What is the woman on the Almost Famous poster wearing on her eyes?,sunglasses,1cb81000e30369eeb33654a9f653e7e6,fc6f758e6eca113adde63050cc6d7522.jpg,,Almost Famous poster| woman| eyes
"In Torpedo, what is in the diver's right hand?",harpoon,62f67108c087d149c3d245e913660bd9,cda08282eca9e43a3c30cf01b6aa3dca.jpg,,Torpedo| diver's right hand
How many people are in the Reservoir Dogs poster?,five,b44e0cf530d532c59e7fdd9a59f391c1,e664eb78abb731d7cdb71a1a4d35b376.jpg,,Reservoir Dogs| poster| number of people
Is there a rocket in this photo of the Geosynchronous Satellite Launch Vehicle?,yes,38d56076632cae4ce6b97c49afda00f5,725fbd47050bef4e490d38870cd946e5.jpg,,photo| Geosynchronous Satellite Launch Vehicle| rocket
What color dress is the woman wearing in the Tanu Weds Manu poster?,green,b903b91a9cb9a72b45113055adba7658,25ed6ffbfbc53df8c89a3226c822e33d.jpg,,Tanu Weds Manu| poster| woman| dress color
What color dress is the woman on the right wearing in Nil Battey Sannata?,red,9d3d8ad4942b1bb99e30c438e67e0798,16f3d65bfb4af47a21523dfeb0ae4c3e.JPG,,woman| dress| Nil Battey Sannata
"What color is the woman's hair, who Romeo is kissing?",orange,55d097da2debadcfdde6e3c6f7953dec,088ca50ccd6233b218c27c142c81f81c.jpg,,woman| hair color| Romeo| kissing
Does William Shakespeare have long or short hair in this image?,long,b95286acbb525edd9a1171deef37ee48,aa5d5d7ad7462a2ba87da0fea097f576.jpg,,William Shakespeare| hair length| image
How many columns are at the front of The Old Vic theatre?,6,969c35c3a4f152107d2b6eaf4b552697,6fd1cdedf03e2cc89034bd3567020455.PNG,,The Old Vic theatre| columns| front
Is Manon's clothing shiny?,yes,7a519bb802d41ef1b76c704bc4b32cd4,d873e7535dec83ec9accc217f0f82d42.jpg,,Manon's clothing| shiny
What is Don Giovanni holding in his right hand?,sword,3a54edd73657b7508a9e60575b002f2b,310fa197138628ab3a73bd22c1226801.jpg,,Don Giovanni| right hand
What color undershirt is Wolfgang Amadeus Mozart wearing?,white,6966304e203aac28b259671c44d3ca3e,c8e0137d4010811d9fdc20854d8302d3.jpg,,Wolfgang Amadeus Mozart| undershirt| color
What kind of structure depicted in the bottom image of the San Francisco Bay Area collage?,bridge,217469315ba1763765d35978e6699946,40e8cb1011712dc18df4079421c81360.jpg,,structure| San Francisco Bay Area| bottom image| collage
How many members of Grand Funk Railroad have long hair?,one,19552d5b2f6c96265e8b327a988d79ac,4777fc6066dc0243b0ce6a8f7e0aec1a.jpg,,Grand Funk Railroad| members| long hair
What color hair does Jackée Harry have?,black,182c182363f77cb56504d4c19dae56dc,c5948829b826b8a23375f96fb4d298a9.jpg,,Jackée Harry| hair color
What is Regina King wearing on her head?,headband,56d229bc6428c1909f95df538950ebb9,a3cb195fd58439a8578f4aadc895ae67.jpg,,Regina King| wearing| head
"Of the clothing that Vijay Amritraj is wearing, which piece of clothing is striped?",tie,246ed94f09db711d85c36b3ada80aa1b,3f08e1831d3d8a46d277ef58bd15145c.jpg,,Vijay Amritraj| clothing| striped
What is on the wrists of Arthur Ashe?,wristbands,80b9da7ee2e0436ed43bf6c4be6285e5,39d585659295bac0419d236ea99f037c.jpg,,Arthur Ashe| wrists
What is directly behind Brad Gilbert?,fence,b10a9f981a385afef039b94ae26942ac,8349854132613f97052d89f8e8957334.jpg,,Brad Gilbert| background
Does Dries Mertens have his mouth open or closed?,closed,a81f75bdeaa7b0a15c41dbfa69696c07,0f69599ac3e07796849983cfbd865f0b.jpg,,Dries Mertens| mouth open| mouth closed
What gold shape is on the upper right jacket of Suso (footballer)?,star,aeda90835f1790f8962cd41a70d6bc35,1db7f616ff5684feab136cac0db1488e.jpg,,gold shape| upper right jacket| Suso (footballer)
What direction is Rodrigo De Paul wearing his hat?,backwards,7475a2210f7f3e3556ab964c35261cbe,560c5a015c16e273d8581d7fb805177b.jpg,,Rodrigo De Paul| hat| direction
What type of piercing does Manuel Lazzari have?,ear,897f52c139bd67b0453648ef089f753b,9469def6c5093e5c297339a2d28a7d6c.jpg,,Manuel Lazzari| piercing
What is Julianne Moore wearing around her neck?,necklace,fffeb86b582502524ae6d97ef8383069,305700473c633bf9916bae11b40c9af7.jpg,,Julianne Moore| wearing| neck
What is Billy Joel doing to indicate that he is happy?,smiling,02083fab499fc23081c1bec576785c13,7ad40c92be61a9411da1d272e9d75777.jpg,,Billy Joel| happy
What shape is in the center of Viduthalal Chiruthaigal Katchi?,star,e7a17bf9eb43fbe95843f682a03b0eb3,1d5f114ad0b0f768347c47e64a2c7eca.jpg,,Viduthalal Chiruthaigal Katchi| shape| center
"How many different pictures of Albany, New York are there?",six,84471b0e29e7b5622512f1a907ffc57e,cc259731afd45f532a8ed5e14e2f5087.jpg,,"pictures| Albany, New York"
What color is the uppermost bracelet on Alonzo Mourning's right wrist?,yellow,19861097f6032aa572d31ca3549c38dc,90238dc6b9abf53577b32ec7a815236d.jpg,,Alonzo Mourning| right wrist| bracelet| color
What is on the necklace that Glen Rice is wearing?,cross,16c89325a88683d6ffa161ed0d72744f,51fd4d6b8f669f4543c416cfbe12e4f7.jpg,,necklace| Glen Rice
What can be seen on the distant mountains of Namdapha National Park?,snow,ed658358171782df5b6fa5c03a7559ad,492dcc287a00e7f44f0f2edd64968e49.jpg,,distant mountains| Namdapha National Park
Do rhinos live in Kaziranga National Park ?,yes,ea5dc8587fdbc88fd245a6cc261bc128,a085b9bd7497e52d38a57a7551d0438b.jpg,,rhinos| Kaziranga National Park
What item with two posts is seen here in the 1978 Amco Cup?,goalpost,a296a8ed3520f3aaa14ecc22b953fed5,b9dfb98ae8f28fd9fd3692c16bca1d0f.jpg,,1978 Amco Cup| item| two posts
Is there a field of green present in the 1980 Tooth Cup photo?,yes,af6382b9a97512324115ab7e40c9d6af,236c7e885e2b4b22d0c1c02c88523f2e.jpg,,1980 Tooth Cup| photo| field of green
How many TV screens are visible in the photo of the 1989 Panasonic Cup (rugby league) field?,one,a290345f4bfbf52c2ae129ed1ae3f7e9,bae736f74123b5f8aa787749e26ccdfb.JPG,,photo| 1989 Panasonic Cup| rugby league| TV screens
How many petals are on the flower in the Brisbane rugby league team logo?,nine,59424e6d811a38b7618696609ff17a48,f3b5f7b99e4888b2730858d63f9a97ae.jpg,,Brisbane rugby league team| logo| flower| petals
What is the background color of the Angry All the Time cover?,black,eacbff5b7f3d2838fd81d3c21e13f54c,644a6165db6d3c0e3f929058ad985ac1.jpg,,background color| Angry All the Time| cover
What portion of the KK Cibona logo is missing?,fourth,56686c2721f5185422d886843c46f416,0c57ae4ddf9a14beacd0975239f44aad.jpg,,KK Cibona| logo| missing portion
How many women are wearing pants in the cover of Rap-Up?,one,ddd5f8da9f80a0761b127c3e240e4040,b554f8523b058ced9af485bdbaa3d231.jpg,,cover| Rap-Up| women| pants
Are there mountains in the background in this photo of Rasen-Antholz?,yes,8767d6a21d960a41a392aa12b8bb14e8,96d3e6c35e4aaad9f6d2b50c3db517ec.jpg,,Rasen-Antholz| mountains| background| photo
What kind of structure can be seen on a top right picture of Jyvaskyla?,bridge,60514549a65e823aa7066e4d4556b8b8,14429d4df972bf80e0091ee85e37fbd5.jpg,,structure| top right picture| Jyvaskyla
"What geological feature is seen in the background of Canmore, Alberta?",mountains,08e0eb017ba996d04e9c75114428fd45,c6e4c8713ce676f2dcdced2ecfd6e58e.jpg,,"geological feature| Canmore, Alberta"
How many characters are in the painting Twelfth Night?,3,8d65d56091cc13f16fe1043745198994,97635ad90f3920b28d5751c8da7fd2bb.jpg,,Twelfth Night| painting| characters
What shape is the red thing next to Taylor Swift?,heart,06b20247b254715e56dce63791481df1,e13ba3961d5e41770f09e5c280340162.jpg,,red thing| Taylor Swift| shape
What type of structure is above the water in this advertisement for Castle (TV series)?,bridge,06860a2886e322ba88deb4d2ae7266bb,a9ad79a59e5af5b5414ca8efd79970a2.JPEG,,advertisement| Castle (TV series)| structure| water
How many people are displayed on this poster for 28 Days Later?,one,947e0a6276f9f0e12a7b2f85d9cf8b7e,9451ab913e2445203a2e0487c580b8aa.jpg,,poster| 28 Days Later| number of people
What kind of expression is on the face of the  woman in The  Bodyguard World Tour?,happy,10a64187b134156ef25069ba18f399fd,ec57f8862406c89e5f927c0a2c33649f.jpg,,woman| expression| The Bodyguard World Tour
What facial expression does Adele have on her face?,smile,7ff0905e0c4242160ec3c40b59a2b487,0ae4de377216929ee195510652e0d885.jpg,,Adele| facial expression
How many people are present on the The Great Gatsby (2013 film) poster?,six,717b9622d97becb987e3ff8f19e5fcd7,ee82e91c853ce5267cb5f7db1183f0e7.JPG,,The Great Gatsby (2013 film)| poster| number of people
What is Daisy Buchanan wearing?,dress,6c7f566f0662ec1b97f2d5b95c7a4976,48cb434e149031373df5b08055474426.jpg,,Daisy Buchanan| wearing
"What length of hair does My Church have, short or long?",long,a7ffdde34c24833473a382cf9cbee874,146bcbcbd76e4bf179a736c4ff91eb6f.jpg,,My Church| hair length
What color is the background of the I Told You So (Randy Travis song) poster?,black,6e3df75df6440d8e4633838bc459ecc3,a7aafe57113080e968222908ca19d524.jpg,,I Told You So (Randy Travis song)| poster| background color
What is in the ear of William Shakespeare?,earring,b95286acbb525edd9a1171deef37ee48,1687b579466145cf87dab7156014b45d.jpg,,William Shakespeare| ear
How many streams of water are seen in the fountain in front of Lyric Theatre (Hammersmith)?,twelve,5efa8a7f6a11def76e2d39030d622110,6fd1cdedf03e2cc89034bd3567020455.PNG,,fountain| streams of water| Lyric Theatre (Hammersmith)
What sport is Kirk Hinrich playing?,basketball,a48805beb5b3eb40f563d5c04bb6f0d7,07f93afd12c1d964c35ee3e2c8f384cf.jpg,,Kirk Hinrich| sport
What does Dennis Bergkamp have around his neck?,scarf,e76344027502bbcef77d7cb10df55d24,8f860a7f8db4b8fe6ee190774d6398d3.jpg,,Dennis Bergkamp| around his neck
What item is positioned directly in front of Michael Laudrup?,microphone,194809106165e7bd9a0dbbd15fcc4d33,59fbd3dc6f10890b5b5f931f14796a2b.jpg,,Michael Laudrup| item| position
Which foot is Jean-Pierre Papin about to kick the ball with?,right,839ea9b4e3da4487c7bb3070d8483e0a,17d819b727fd3e737ee6db1c8e359959.jpeg,,Jean-Pierre Papin| foot| ball
